"filename", "language", "C++", "comment", "blank", "total"
"/home/x2y/workspace/github/UDSSE/code/SRE.h", "C++", -2, -2, 0, -4
"/home/x2y/workspace/github/UDSSE/code/UDSSE.cpp", "C++", -12, -7, 3, -16
"/home/x2y/workspace/github/UDSSE/code/UDSSE.h", "C++", 0, 0, -6, -6
"/home/x2y/workspace/github/UDSSE/code/UPE.cpp", "C++", -1, 0, 0, -1
"/home/x2y/workspace/github/UDSSE/code/testUDSSE.cpp", "C++", 4, -12, 8, 0
"Total", "-", -11, -21, 5, -27
